IV_video,gender,age,enjoyable,good,feelgood,moving,inspired,skeptical_reversed,skeptical,awe_reverence,sacred_meaning,insight,spiritual,aroundme,humanrace,connectedpart,beyondme,godexists,godprovidence,religion,familiarvideo,likesinger,video_inspiration,video_enjoyment,christian_buddist_noreligion,IV_video_dummycoding,spiritualtranscendence,connectedness,trans,connect,belief,video
2,1,26,7,7,7,7,7,7,1,7,4,7,2,7,7,7,7,4,4,4,1,2,7,7,3,-1,5,7,5,7,4,-1
2,1,40,6,5,6,3,3,4,4,3,2,2,2,5,4,4,3,4,4,4,1,2,3,5.25,3,-1,2.25,4,2.25,4,4,-1
2,1,41,5,4,5,3,4,7,1,4,3,3,3,4,4,4,4,3,3,4,1,4,3.5,5.25,3,-1,3.25,4,3.25,4,3,-1
2,2,28,6,6,5,2,5,6,2,2,2,2,2,5,2,1,1,1,1,4,1,3,3.5,5.75,3,-1,2,2.25,2,2.25,1,-1
2,2,50,5,4,5,2,2,6,2,1,1,1,1,2,1,1,1,1,1,4,1,4,2,5,3,-1,1,1.25,1,1.25,1,-1
2,1,53,6,7,7,4,5,5,3,4,3,3,3,5,6,6,5,4,4,4,1,2,4.5,6.25,3,-1,3.25,5.5,3.25,5.5,4,-1
2,2,33,5,4,4,3,3,5,3,3,2,3,2,3,3,2,2,1,1,4,1,2,3,4.5,3,-1,2.5,2.5,2.5,2.5,1,-1
2,2,24,6,6,6,2,2,6,2,2,1,1,1,4,4,4,2,1,1,4,1,2,2,6,3,-1,1.25,3.5,1.25,3.5,1,-1
2,1,55,5,5,5,4,4,5,3,3,3,4,3,3,3,3,4,2,2,4,1,6,4,5,3,-1,3.25,3.25,3.25,3.25,2,-1
2,1,34,7,5,4,2,2,5,3,1,1,1,1,5,6,4,4,1,1,4,1,2,2,5.25,3,-1,1,4.75,1,4.75,1,-1
2,1,42,6,6,6,4,4,5,3,3,3,3,3,3,3,3,3,2,2,4,1,2,4,5.75,3,-1,3,3,3,3,2,-1
2,1,48,3,3,3,1,3,3,5,2,2,3,2,3,3,3,4,3,5,4,1,5,2,3,3,-1,2.25,3.25,2.25,3.25,3,-1
2,1,20,7,7,7,4,4,7,1,6,4,4,4,7,4,4,4,1,1,4,1,2,4,7,3,-1,4.5,4.75,4.5,4.75,1,-1
2,1,32,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,1,4,4,4,3,-1,3,3,3,3,3,-1
2,2,21,6,4,4,1,4,6,2,3,2,4,1,5,3,4,2,1,1,4,1,4,2.5,5,3,-1,2.5,3.5,2.5,3.5,1,-1
2,1,25,6,6,6,4,4,6,2,4,2,2,2,5,4,4,4,2,2,4,1,3,4,6,3,-1,2.5,4.25,2.5,4.25,2,-1
2,1,38,4,5,5,4,5,4,4,4,4,5,4,5,4,5,5,3,4,4,1,4,4.5,4.5,3,-1,4.25,4.75,4.25,4.75,3,-1
2,1,57,6,6,6,4,4,5,3,4,4,4,4,3,3,3,3,3,3,4,1,2,4,5.75,3,-1,4,3,4,3,3,-1
2,2,44,4,4,3,1,1,5,3,3,1,1,1,1,1,1,1,1,1,4,2,4,1,4,3,-1,1.5,1,1.5,1,1,-1
2,1,51,5,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,1,3,3,4.25,3,-1,3.25,3,3.25,3,3,-1
2,1,25,6,6,5,3,4,5,3,3,3,3,4,4,3,3,3,2,2,4,1,2,3.5,5.5,3,-1,3.25,3.25,3.25,3.25,2,-1
2,2,30,6,2,3,1,1,4,4,2,1,1,1,2,1,2,2,2,2,4,1,4,1,3.75,3,-1,1.25,1.75,1.25,1.75,2,-1
2,2,42,6,4,5,3,4,6,2,3,2,4,2,4,3,2,3,3,1,4,1,3,3.5,5.25,3,-1,2.75,3,2.75,3,3,-1
2,1,44,6,5,6,4,5,5,3,3,1,2,3,4,3,3,3,3,3,4,1,3,4.5,5.5,3,-1,2.25,3.25,2.25,3.25,3,-1
2,1,34,6,6,6,7,6,2,6,5,6,6,6,6,6,6,6,6,6,4,1,2,6.5,5,3,-1,5.75,6,5.75,6,6,-1
2,2,41,6,6,6,5,5,6,2,2,2,2,2,6,4,4,4,1,1,4,1,2,5,6,3,-1,2,4.5,2,4.5,1,-1
2,1,39,6,5,5,2,5,6,2,2,2,2,2,2,2,2,2,2,2,4,1,4,3.5,5.5,3,-1,2,2,2,2,2,-1
2,2,29,6,6,6,3,4,4,4,5,3,5,4,6,6,4,4,3,3,4,1,2,3.5,5.5,3,-1,4.25,5,4.25,5,3,-1
2,2,31,6,6,6,3,3,6,2,3,2,2,2,4,4,2,2,2,2,4,1,3,3,6,3,-1,2.25,3,2.25,3,2,-1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
